Gender_Customer Type_Age_Type of Travel_Class_Flight Distance_Inflight wifi service_Departure/Arrival time convenient_Ease of Online booking_Gate location_Food and drink_Online boarding_Seat comfort_Inflight entertainment_On-board service_Leg room service_Baggage handling_Checkin service_Inflight service_Cleanliness_Departure Delay in Minutes_Arrival Delay in Minutes_satisfaction
Female_Loyal Customer_52_Business travel_Eco_160_5_4_3_4_3_4_3_5_5_5_5_2_5_5_50_44,0_satisfied
Male_disloyal Customer_20_Business travel_Eco_192_2_0_2_4_2_2_2_2_4_1_3_2_2_2_0_0,0_neutral or dissatisfied
Male_Loyal Customer_44_Business travel_Business_3377_0_0_0_2_3_4_4_1_1_1_1_3_1_4_0_6,0_satisfied
Female_Loyal Customer_77_Business travel_Business_3987_5_5_5_5_3_5_5_5_5_5_5_4_5_3_0_0,0_satisfied
Female_Loyal Customer_43_Business travel_Business_2556_2_2_2_2_4_4_5_4_4_4_4_5_4_3_77_65,0_satisfied
Male_Loyal Customer_47_Business travel_Eco_556_5_2_2_2_5_5_5_5_2_2_5_3_3_5_1_0,0_satisfied
Female_Loyal Customer_46_Business travel_Business_1744_2_2_2_2_3_4_4_4_4_4_4_5_4_4_28_14,0_satisfied
Female_Loyal Customer_47_Business travel_Eco_1235_4_1_1_1_5_1_5_3_3_4_3_1_3_4_29_19,0_satisfied
Female_Loyal Customer_33_Business travel_Business_325_2_5_5_5_1_3_4_2_2_2_2_3_2_4_18_7,0_neutral or dissatisfied
Female_Loyal Customer_60_Business travel_Business_451_1_1_4_1_5_5_4_5_5_5_5_3_5_5_117_113,0_satisfied
Male_Loyal Customer_50_Personal Travel_Eco_83_3_4_0_3_2_0_2_2_4_2_4_4_5_2_5_2,0_neutral or dissatisfied
Male_Loyal Customer_52_Personal Travel_Eco Plus_1075_5_4_5_3_4_5_4_4_3_5_5_4_5_4_0_0,0_satisfied
Female_Loyal Customer_43_Personal Travel_Eco_1927_3_4_3_1_4_4_5_5_5_3_5_4_5_3_0_0,0_neutral or dissatisfied
Female_Loyal Customer_50_Business travel_Business_3799_5_5_5_5_4_5_4_4_4_5_4_5_4_5_8_0,0_satisfied
Male_Loyal Customer_43_Personal Travel_Eco_1437_3_4_3_4_2_3_2_2_4_2_4_4_5_2_0_0,0_neutral or dissatisfied
Male_Loyal Customer_55_Personal Travel_Eco_302_1_2_4_3_4_4_4_4_1_3_2_4_3_4_0_0,0_neutral or dissatisfied
